sep=,
author,desc,link,title,upvote
,"AtScale, a four-year old startup that helps companies get a big-picture view of their big data inside their BI tools, announced a $25 million Series C investment today.
The round was led by Atlantic Bridge with participation from new investors Wells Fargo and Industry Ventures along with returning investors Storm Ventures, UMC, Comcast and XSeed Capital. With today’s investment, the… Read More",https://techcrunch.com/2017/10/03/investors-place-25m-on-atscale-to-get-the-big-picture-of-big-data/,Investors place $25M on AtScale to get the big picture of big data,
,"What do N26, Revolut and Monzo have in common? The three founders of those three startups are all coming to TechCrunch Disrupt Berlin to discuss all things fintech. If you want to see Valentin Stalf, Nikolay Storonsky and Tom Blomfield share the same stage, come to Disrupt in December.
N26 also happens to be a Startup Battlefield success story. The company participated in our startup… Read More",https://techcrunch.com/2017/10/03/n26-revolut-and-monzo-founders-to-talk-about-starting-a-bank-from-scratch-at-techcrunch-disrupt-berlin/,"N26, Revolut and Monzo founders to talk about starting a bank from scratch at Disrupt Berlin",
,"Curiscope, a U.K. augmented and virtual reality content startup, has raised a $1 million seed round led by LocalGlobe, the seed VC firm founded by Saul and Robin Klein. Ascension Ventures, Force over Mass, ustwo Adventure, and Richard Fearn also participated. Read More",https://techcrunch.com/2017/10/03/curiscope/,LocalGlobe backs augmented and virtual reality content startup Curiscope,
,"Topology Eyewear is an augmented reality app providing custom-fit glasses from a 3D scan of your face. Most glasses are mass manufactured to fit a supposedly symmetric head. The problem is, most of us are not that symmetrical. The Topology app, available on iOS, uses face-scanning technology to take into account facial factors that can make most glasses not fit as well as they should. Read More",https://techcrunch.com/2017/10/02/topology-lets-you-try-before-you-buy-glasses-using-ar-in-an-app/,Topology lets you try before you buy glasses using AR in an app,
,"Ex-500 Startups partners Elizabeth Yin and Eric Bahn want to focus on potential impact, not on whether or not founders have a degree from Stanford or some Ivy League school. Their goal with Hustle Fund, according to sources, is to level the playing the field for entrepreneurs in an industry where pedigree is not a good proxy for success. Read More",https://techcrunch.com/2017/10/02/ex-500-startups-partners-launch-hustle-fund-to-level-the-playing-field-for-founders/,Ex-500 Startups partners launch Hustle Fund to level the playing field for founders,
,"About a year ago we reported that Bumble would soon launch BumbleBizz – a swipe-based networking tool that is designed to help people make professional connections.
And now the feature is finally rolling out today to users in the US, UK, Germany, France and Canada.
Essentially BumbleBizz will use the same types of parameters that regular Bumble does – your location, network… Read More",https://techcrunch.com/2017/10/02/bumbles-business-networking-feature-launches-today/,Bumble’s business networking feature launches today,
,"French startup OpenClassrooms is partnering with IT service company Capgemini to find and hire new people off the beaten path. This is something new for OpenClassrooms and could turn into a lucrative opportunity.
Starting today, 16 people have been recruited by Capgemini to become Java J2EE experts. They’ll first start by studying full time for three months. They’ll then work… Read More",https://techcrunch.com/2017/10/02/openclassrooms-and-capgemini-team-up-and-launch-an-online-apprenticeship-program/,OpenClassrooms and Capgemini team up and launch an online apprenticeship program,
,"Hey! VINA, the female-focused friend finding app, has today announced the launch of an Android app.
The VINA app is almost identical to Tinder, except the end-result is to find women a new friend instead of a hot date.
That said, VINA only shows one photo of the user, and instead of relying fully on swipes, it uses a matching algorithm that takes into account mutual friends, location… Read More",https://techcrunch.com/2017/10/02/hey-vina-the-female-focused-friendship-app-launches-on-android/,"Hey! VINA, the female-focused friendship app, launches on Android",
,"In an industry that tends to concentrate its startup energy in Silicon Valley, Kryon defies convention. The robotics process automation (RPA) startup has its US headquarters in New Jersey. The location didn’t matter when it came to getting investment capital as the company announced a  $12 million Series B today.
The round was led by Aquiline Technology Growth (ATG) and Vertex… Read More",https://techcrunch.com/2017/10/02/robotics-process-automation-startup-kryon-pulls-in-12m-series-a-investment/,Robotics process automation startup Kryon pulls in $12M Series B investment,
,"Curve, the London fintech startup that lets you consolidate all your bank cards into a single card and track your spending, has partnered with accounting software Xero to remove much of the friction involved in filing expenses. The move is part of the newly-launched ‘Curve Connect’ feature that will see Curve connect to a growing list of third-party apps and services to make… Read More",https://techcrunch.com/2017/10/02/curve-accounting/,Fintech startup Curve partners with accounting software Xero to make filing expenses ‘frictionless’,
